# 176 studies returned by OSDR small-RNA search terms
# by kingdom: animal=156, plant=12, microbe=7, other=1
accession	kingdom	organism	assay	gse	title
OSD-101	animal	Mus musculus	Whole Transcriptome Bisulfite Sequencing     mass spectrometry     RNA Sequencing (RNA-Seq)     Whole Genome Bisulfite Sequencing		Rodent Research-1 (RR1) NASA Validation Flight: Mouse left gastrocnemi
OSD-102	animal	Not Applicable     Mus musculus	mass spectrometry     Whole Genome Bisulfite Sequencing     RNA Sequencing (RNA-Seq)     Whole Transcriptome Bisulfite Sequencing		Rodent Research-1 (RR1) NASA Validation Flight: Mouse kidney transcrip
OSD-103	animal	Not Applicable     Mus musculus	mass spectrometry     Whole Transcriptome Bisulfite Sequencing     Whole Genome Bisulfite Sequencing     RNA Sequencing (RNA-Seq)		Rodent Research-1 (RR1) NASA Validation Flight: Mouse quadriceps muscl
OSD-104	animal	Mus musculus	RNA Sequencing (RNA-Seq)     Whole Genome Bisulfite Sequencing		Rodent Research-1 (RR1) NASA Validation Flight: Mouse soleus muscle tr
OSD-105	animal	Not Applicable     Mus musculus	RNA Sequencing (RNA-Seq)     mass spectrometry     Whole Genome Bisulfite Sequencing     Whole Transcriptome Bisulfite Sequencing		Rodent Research-1 (RR1) NASA Validation Flight: Mouse tibialis anterio
OSD-109	animal	Mus musculus	DNA microarray	E-GEOD-68874	Delayed Cardiomyocyte Response to Total Body Particle Radiation Exposu
OSD-111	animal	Mus musculus	DNA microarray	GSE80223	Global gene expression analysis highlights microgravity sensitive key 
OSD-115	animal	Homo sapiens	DNA microarray	E-GEOD-12647	Gene expression profiling in human fibroblast after low-LET irradiatio
OSD-116	animal	Mus musculus	mass spectrometry     real time PCR		Biological and Metabolic Response in STS-135 Space-flown Mouse Skin
OSD-117	animal	Mus musculus	DNA microarray	E-GEOD-68875	Delayed Cardiomyocyte Response to Total Body Particle Radiation Exposu
OSD-118	animal	Homo sapiens	DNA microarray     DNA microarray		Transient gene expression profile changes of confluent human fibroblas
OSD-125	animal	Homo sapiens	DNA microarray	GSE69271	mRNA expression profile in DLD-1 and MOLT-4 cancer cell lines cultured
OSD-128	animal	Homo sapiens	miRNA Microarray	GSE20120	Identification of miRNAs involved in cell response to ionizing radiati
OSD-129	animal	Homo sapiens	DNA microarray	GSE20173	Gene expression profiling of PBL in response to ionizing radiation and
OSD-133	animal	Oryzias latipes	RNA Sequencing (RNA-Seq)	PRJDB5292	Acute transcriptional up-regulation specific to osteoblasts/osteoclast
OSD-135	animal	Mus musculus	DNA microarray	GSE94381	Global gene expression analysis highlights microgravity sensitive key 
OSD-155	animal	Homo sapiens	DNA microarray	E-GEOD-23515	Radiation responses in peripheral white blood cells of smokers and non
